,gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
795,M,DEP,Department of Environmental Protection,Watershed Restoration and Capital Projects,Fulltime-Regular,Senior Engineer,01/04/2010,2010
796,M,CEC,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Urban District Public Service Aide,08/03/1997,1997
797,M,POL,Department of Police,FSB Special Operations Division,Fulltime-Regular,Police Officer III,06/25/1990,1990
798,M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,01/22/2008,2008
799,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,05/25/1997,1997
800,F,HHS,Department of Health and Human Services,"Chief, Children Youth and Families",Fulltime-Regular,Program Manager II,04/09/2001,2001
801,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/30/2015,2015
802,M,FRS,Fire and Rescue Services,Station 13,Fulltime-Regular,Firefighter/Rescuer II,09/29/2009,2009
803,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,02/20/2007,2007
804,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,01/17/2006,2006
805,M,SHF,Sheriff's Office,Administration,Fulltime-Regular,Chief Deputy Sheriff (Colonel),01/09/1989,1989
806,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Lieutenant,09/12/1988,1988
807,F,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,07/18/2005,2005
808,F,HHS,Department of Health and Human Services,Care Coordination,Fulltime-Regular,Community Services Aide III,11/03/1980,1980
809,M,DLC,Department of Liquor Control,Darnestown,Fulltime-Regular,Liquor Store Clerk II,10/28/2008,2008
810,F,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,07/18/2005,2005
811,M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,04/12/1999,1999
812,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,05/22/2000,2000
813,F,DLC,Department of Liquor Control,Montrose,Parttime-Regular,Liquor Store Clerk I,10/14/2015,2015
814,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,01/27/2014,2014
815,F,OLO,Office of Legislative Oversight,Legislative Oversight Staff,Fulltime-Regular,Manager II,09/18/2006,2006
816,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,01/05/1988,1988
817,M,POL,Department of Police,PSB 6th District Community Action Team,Fulltime-Regular,Police Officer III,07/18/2011,2011
818,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,01/18/1994,1994
819,F,HHS,Department of Health and Human Services,Autism Waiver,Fulltime-Regular,Program Specialist II,05/19/2014,2014
820,M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
821,F,HHS,Department of Health and Human Services,Abused Persons Program,Fulltime-Regular,Supervisory Therapist,10/24/1978,1978
822,F,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service Aide,10/03/2016,2016
823,F,OHR,Office of Human Resources,Classification and Compensation Team,Fulltime-Regular,Gain Sharing Coordinator,03/30/2009,2009
824,M,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector II,11/04/2006,2006
825,M,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Social Worker II,05/01/2006,2006
826,M,LIB,Department of Public Libraries,Bethesda Library,Fulltime-Regular,Senior Librarian,11/03/2003,2003
827,M,DPS,Department of Permitting Services,Fire Code Compliance,Fulltime-Regular,Program Manager II,08/12/2013,2013
828,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,01/18/1994,1994
829,M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer II (PFC),06/29/2015,2015
830,F,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,03/14/1988,1988
831,M,POL,Department of Police,PSB 4th District Traffic Squad,Fulltime-Regular,Police Officer III,09/18/1995,1995
832,F,NDA,Non-Departmental Account,MCERP,Fulltime-Regular,Senior Financial Specialist,06/16/2014,2014
833,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Master Police Officer,01/12/2009,2009
834,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,09/05/2006,2006
835,F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Staff Veterinarian,10/03/2016,2016
836,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,02/19/2008,2008
837,M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Electrician II,01/09/2006,2006
838,F,HHS,Department of Health and Human Services,Outpatient Addiction and Mental Health Clinic,Fulltime-Regular,Therapist II,01/14/2013,2013
839,M,POL,Department of Police,MSB Personnel Division Background Section,Fulltime-Regular,Background Screening Specialist,09/07/1999,1999
840,M,PRO,Office of Procurement,"MFD (Minority, Female, and Disabled Persons Program)",Fulltime-Regular,Program Specialist II,03/26/1990,1990
841,M,DOT,Department of Transportation,Director Transportation Policy,Fulltime-Regular,Senior Engineer,04/09/2012,2012
842,M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Public Service Worker II,01/28/2007,2007
843,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Child Welfare Caseworker,02/27/1995,1995
844,F,HHS,Department of Health and Human Services,Medication Assisted Treatment - Clinical and Vocational Services,Fulltime-Regular,Nurse Manager,01/26/1987,1987
845,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,09/02/2008,2008
846,F,IGR,Office of Intergovernmental Relations Department,Office of Intergovernmental Relations Department,Fulltime-Regular,Manager I,01/06/2003,2003
847,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/17/1998,1998
848,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,01/13/2008,2008
849,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,02/25/2008,2008
850,F,DOT,Department of Transportation,Director Management Services,Fulltime-Regular,Administrative Specialist II,11/04/2002,2002
851,M,REC,Department of Recreation,Programs and Administration Division,Fulltime-Regular,Manager II,10/21/2001,2001
852,F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,07/31/2000,2000
853,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,11/10/2014,2014
854,M,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Program Manager II,08/22/2005,2005
855,M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,06/04/2012,2012
856,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,06/18/2012,2012
857,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/11/2010,2010
858,F,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Officer II (PFC),02/23/2015,2015
859,F,LIB,Department of Public Libraries,Virtual Services,Fulltime-Regular,Program Specialist II,11/03/2014,2014
860,M,DLC,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,11/05/2012,2012
861,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,08/26/2001,2001
862,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/18/2014,2014
863,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,05/07/2012,2012
864,F,LIB,Department of Public Libraries,Damascus Library,Fulltime-Regular,Library Assistant Supervisor,10/23/2011,2011
865,F,DOT,Department of Transportation,Transit Commuter Services Trips,Fulltime-Regular,Office Services Coordinator,02/01/1988,1988
866,F,DLC,Department of Liquor Control,Darnestown,Parttime-Regular,Liquor Store Clerk I,02/22/2016,2016
867,M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,06/14/2004,2004
868,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
869,M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer II,11/10/2008,2008
870,F,DOT,Department of Transportation,Director Management Services,Fulltime-Regular,Manager III,03/14/1988,1988
871,M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),05/28/1996,1996
872,M,DTS,Department of Technology Services,ESOD Data Center Operations,Fulltime-Regular,Manager III,10/17/1994,1994
873,M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,04/18/1999,1999
874,M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Equipment Operator,05/03/1987,1987
875,F,HHS,Department of Health and Human Services,Maternity Dental,Fulltime-Regular,Office Services Coordinator,06/12/2000,2000
876,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,07/07/1980,1980
877,F,DLC,Department of Liquor Control,Wheaton,Parttime-Regular,Liquor Store Clerk I,02/22/2016,2016
878,M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Inspector,08/29/1994,1994
879,F,COR,Correction and Rehabilitation,DS Intake Classification and Re-Entry Services,Fulltime-Regular,Correctional Specialist III,07/09/2007,2007
880,M,FRS,Fire and Rescue Services,Fire and Explosive Investigations,Fulltime-Regular,Master Firefighter/Rescuer,11/28/1988,1988
881,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,06/30/2014,2014
882,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Office Services Coordinator,11/26/2007,2007
883,M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Fire/Rescue Captain,02/14/2000,2000
884,M,SHF,Sheriff's Office,Administration,Fulltime-Regular,Deputy Sheriff Candidate,07/11/2016,2016
885,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff I,06/01/2015,2015
886,M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Electrician I,01/13/2014,2014
887,M,SHF,Sheriff's Office,Civil Process,Fulltime-Regular,Deputy Sheriff III,07/16/2007,2007
888,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012
889,F,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Code Enforcement Inspector III,01/25/1982,1982
890,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,01/06/1997,1997
891,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/18/2011,2011
892,M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
893,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,11/22/2004,2004
894,F,DPS,Department of Permitting Services,Zoning,Fulltime-Regular,Senior Permitting Services Specialist,02/06/2006,2006
895,F,OHR,Office of Human Resources,Training and Organizational Development Team,Fulltime-Regular,Manager III,12/11/2006,2006
896,M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer II (PFC),02/23/2015,2015
897,M,FRS,Fire and Rescue Services,Internal Affairs,Fulltime-Regular,Manager III,11/02/2015,2015
898,M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Fire/Rescue Lieutenant,09/04/2001,2001
899,M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,11/15/2004,2004
900,M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,02/27/2012,2012
901,M,FRS,Fire and Rescue Services,First Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,06/12/2000,2000
902,M,FRS,Fire and Rescue Services,Station 13,Fulltime-Regular,Fire/Rescue Captain,09/04/2001,2001
903,F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Animal Care Attendant,12/30/2013,2013
904,M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,06/01/2010,2010
905,M,REC,Department of Recreation,Northern Region Area II,Fulltime-Regular,Recreation Supervisor,06/26/2006,2006
906,M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Firefighter/Rescuer III,03/19/2007,2007
907,M,DOT,Department of Transportation,Transportation Engineering Administration,Fulltime-Regular,Information Technology Specialist III,08/17/1998,1998
908,F,PRO,Office of Procurement,Procurement Director,Fulltime-Regular,Director Office of Procurement,01/28/2014,2014
909,M,POL,Department of Police,PSB 1st District Traffic Squad,Fulltime-Regular,Police Officer III,09/08/1987,1987
910,M,DTS,Department of Technology Services,Enterprise Information Security Office,Fulltime-Regular,Information Technology Specialist I,12/01/2014,2014
911,M,DLC,Department of Liquor Control,Fallsgrove,Fulltime-Regular,Liquor Store Assistant Manager,09/03/2007,2007
912,M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,09/04/2007,2007
913,F,POL,Department of Police,ISB Criminal Investigations Division Crime Laboratory Section,Fulltime-Regular,Senior Forensic Scientist,11/27/2006,2006
914,M,SHF,Sheriff's Office,Administration,Fulltime-Regular,Deputy Sheriff Candidate,07/11/2016,2016
915,F,DOT,Department of Transportation,Transit Commuter Services,Fulltime-Regular,Manager III,03/01/1999,1999
916,F,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,10/29/2007,2007
917,M,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,07/22/2002,2002
918,M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer II (PFC),04/22/2002,2002
919,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,04/18/2016,2016
920,M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),12/03/2012,2012
921,F,CAT,County Attorney's Office,Government Operations,Fulltime-Regular,Assistant County Attorney III,02/01/1999,1999
922,M,POL,Department of Police,MSB Personnel Division Background Section,Fulltime-Regular,Background Screening Specialist,11/07/2011,2011
